command,expected,label,context_has_staged,context_has_unstaged,context_is_init,edit_distance,flag_delta,arg_delta
cd ..,git switch feature,UNKNOWN,0,0,1,16,0,-1
git add hello.txt,git add hello.txt,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
git branch,git branch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git init --dry-run,git init,EXTRA_ARG,0,0,0,10,1,0
mkdir test,git log --oneline,UNKNOWN,0,0,1,15,-1,0
git switch feature,git switch feature,WRONG_CONTEXT_STATE,1,1,0,0,0,0
git push origin main,git status,WRONG_ORDER,0,1,1,15,0,2
echo hello,git status,UNKNOWN,0,1,1,10,0,0
git,git init,MISSING_ARG,0,0,0,5,0,0
git include hello.txt,git add hello.txt,WRONG_SUBCOMMAND,0,1,1,6,0,0
git branch=feature,git branch feature,SYNTAX_ERROR,0,0,1,1,0,-1
"git commit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",CORRECT,1,0,1,0,0,0
git branch feature,git branch feature,SYNTAX_ERROR,0,0,1,0,0,0
git diff -v,git diff,WRONG_FLAG,0,1,1,3,1,0
git stash --verbose,git stash,EXTRA_ARG,0,1,1,10,1,0
git push origin main,git log --oneline,WRONG_ORDER,0,0,1,13,-1,2
git --log --oneline,git log --oneline,SYNTAX_ERROR,0,0,1,2,1,0
cd ..,git stash,UNKNOWN,0,1,1,8,0,0
rm -rf test,git switch feature,UNKNOWN,0,0,1,14,1,0
git changes,git diff,WRONG_SUBCOMMAND,0,1,1,7,0,0
git switch feature,git diff,WRONG_ORDER,0,1,1,12,0,1
git,git status,PARTIALLY_CORRECT,0,1,1,7,0,0
ls -la,git diff,UNKNOWN,0,1,1,7,1,0
git branch feature,git branch feature,CORRECT,0,0,1,0,0,0
git branch,git branch feature,MISSING_ARG,0,0,1,8,0,-1
git push origin main,git status,WRONG_ORDER,0,1,1,15,0,2
git status,git status,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git merge main,git branch feature,WRONG_ORDER,0,0,1,12,0,0
gitaswitch feature,git switch feature,TYPO,0,0,1,1,0,-1
git stash save,git stash,DEPRECATED_USAGE,0,1,1,5,0,1
git loo --onelin,git log --oneline,TYPO,0,0,1,2,0,0
git init -v,git init,WRONG_FLAG,0,0,0,3,1,0
pwd,git stash,UNKNOWN,0,1,1,9,0,0
gitj stash,git stash,TYPO,0,1,1,1,0,0
gitgit status,git status,SYNTAX_ERROR,0,1,1,3,0,0
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
mkdir test,git log --oneline,UNKNOWN,0,0,1,15,-1,0
git branch,git branch feature,PARTIALLY_CORRECT,0,0,1,8,0,-1
git switch feature,git diff,WRONG_ORDER,0,1,1,12,0,1
"git commit -m ""Add lelo.txt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,2,0,0
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
git commit -m 'message',git stash,WRONG_ORDER,0,1,1,17,1,1
"git commit -m ""Add","git commit -m ""Add hello.txt""",MISSING_ARG,1,0,1,11,0,-1
git go feature,git switch feature,WRONG_SUBCOMMAND,0,0,1,6,0,0
git init --verbose,git init,EXTRA_ARG,0,0,0,10,1,0
git switch feature -f,git switch feature,WRONG_FLAG,0,0,1,3,1,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
"git cmmit -m ""Add hello.txt""","git commit -m ""Add hello.txt""",TYPO,1,0,1,1,0,0
git stash --verbose,git stash,EXTRA_ARG,0,1,1,10,1,0
cd ..,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,25,-1,-2
git diff,git diff,CORRECT,0,1,1,0,0,0
gitstash,git stash,SYNTAX_ERROR,0,1,1,1,0,0
git log,git log --oneline,MISSING_ARG,0,0,1,10,-1,0
"git commit -m ""Add","git commit -m ""Add hello.txt""",MISSING_ARG,1,0,1,11,0,-1
git merge main,git branch feature,WRONG_ORDER,0,0,1,12,0,0
git push origin main,git init,WRONG_ORDER,0,0,0,13,0,2
git,git stash,MISSING_ARG,0,1,1,6,0,0
git stash --verbose,git stash,WRONG_FLAG,0,1,1,10,1,0
git init --verbose,git init,WRONG_FLAG,0,0,0,10,1,0
"gitcommit-m""Addhello.txt""","git commit -m ""Add hello.txt""",SYNTAX_ERROR,1,0,1,4,-1,-2
git estatui,git status,TYPO,0,1,1,2,0,0
$ git init,git init,SYNTAX_ERROR,0,0,0,2,0,1
git init,git init,CORRECT,0,0,0,0,0,0
git add -u hello.txt,git add hello.txt,DEPRECATED_USAGE,0,1,1,3,1,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
git status,git status,CORRECT,0,1,1,0,0,0
git push origin main,git branch feature,WRONG_ORDER,0,0,1,16,0,1
gt init,git init,TYPO,0,0,0,1,0,0
git,git stash,MISSING_ARG,0,1,1,6,0,0
git commit -m 'message',git status,WRONG_ORDER,0,1,1,17,1,1
git switch feature,git switch feature,CORRECT,0,0,1,0,0,0
echo hello,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,22,-1,-2
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git diff --dry-run,git diff,EXTRA_ARG,0,1,1,10,1,0
git checkout feature,git switch feature,DEPRECATED_USAGE,0,0,1,8,0,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
diff,git diff,PARTIALLY_CORRECT,0,1,1,4,0,0
git merge feature,git merge feature,CORRECT,0,0,1,0,0,0
git switch feature,git add hello.txt,WRONG_ORDER,0,1,1,13,0,0
git mrge feature,git merge feature,TYPO,0,0,1,1,0,0
git merge,git merge feature,MISSING_ARG,0,0,1,8,0,-1
git init -v,git init,WRONG_FLAG,0,0,0,3,1,0
echo hello,"git commit -m ""Add hello.txt""",UNKNOWN,1,0,1,22,-1,-2
git diff,git diff,WRONG_CONTEXT_STATE,1,0,0,0,0,0
git stash --dry-run,git stash,WRONG_FLAG,0,1,1,10,1,0
git diff HEAD,git diff,DEPRECATED_USAGE,0,1,1,5,0,1
gie inat,git init,TYPO,0,0,0,2,0,0
pwd,git status,UNKNOWN,0,1,1,10,0,0
git branch -b feature,git branch feature,DEPRECATED_USAGE,0,0,1,3,1,0
git,git init,MISSING_ARG,0,0,0,5,0,0
git,git init,PARTIALLY_CORRECT,0,0,0,5,0,0
git status -v,git status,WRONG_FLAG,0,1,1,3,1,0
init,git init,PARTIALLY_CORRECT,0,0,0,4,0,0
git branch feature --dry-run,git branch feature,EXTRA_ARG,0,0,1,10,1,0
git,git init,PARTIALLY_CORRECT,0,0,0,5,0,0
